ratio,tpr,fpr,precision,f1,tp,fp,fn
10.0,0.9841,0.0080,0.9954,0.9897,432,2,7
9.9,0.9841,0.0080,0.9954,0.9897,432,2,7
9.8,0.9841,0.0080,0.9954,0.9897,432,2,7
9.7,0.9841,0.0080,0.9954,0.9897,432,2,7
9.6,0.9841,0.0080,0.9954,0.9897,432,2,7
9.5,0.9841,0.0080,0.9954,0.9897,432,2,7
9.4,0.9841,0.0080,0.9954,0.9897,432,2,7
9.3,0.9841,0.0080,0.9954,0.9897,432,2,7
9.2,0.9841,0.0080,0.9954,0.9897,432,2,7
9.1,0.9841,0.0080,0.9954,0.9897,432,2,7
9.0,0.9841,0.0080,0.9954,0.9897,432,2,7
8.9,0.9841,0.0080,0.9954,0.9897,432,2,7
8.8,0.9841,0.0080,0.9954,0.9897,432,2,7
8.7,0.9863,0.0080,0.9954,0.9908,433,2,6
8.6,0.9863,0.0080,0.9954,0.9908,433,2,6
8.5,0.9863,0.0080,0.9954,0.9908,433,2,6
8.4,0.9863,0.0080,0.9954,0.9908,433,2,6
8.3,0.9863,0.0080,0.9954,0.9908,433,2,6
8.2,0.9863,0.0080,0.9954,0.9908,433,2,6
8.1,0.9886,0.0120,0.9931,0.9909,434,3,5
8.0,0.9909,0.0120,0.9932,0.9920,435,3,4
7.9,0.9932,0.0120,0.9932,0.9932,436,3,3
7.8,0.9932,0.0120,0.9932,0.9932,436,3,3
7.7,0.9932,0.0120,0.9932,0.9932,436,3,3
7.6,0.9932,0.0120,0.9932,0.9932,436,3,3
7.5,0.9932,0.0120,0.9932,0.9932,436,3,3
7.4,0.9932,0.0120,0.9932,0.9932,436,3,3
7.3,0.9932,0.0120,0.9932,0.9932,436,3,3
7.2,0.9932,0.0120,0.9932,0.9932,436,3,3
7.1,0.9932,0.0120,0.9932,0.9932,436,3,3
7.0,0.9932,0.0120,0.9932,0.9932,436,3,3
6.9,0.9954,0.0120,0.9932,0.9943,437,3,2
6.8,0.9954,0.0120,0.9932,0.9943,437,3,2
6.7,0.9954,0.0120,0.9932,0.9943,437,3,2
6.6,0.9954,0.0120,0.9932,0.9943,437,3,2
6.5,0.9954,0.0120,0.9932,0.9943,437,3,2
6.4,0.9954,0.0120,0.9932,0.9943,437,3,2
6.3,0.9954,0.0120,0.9932,0.9943,437,3,2
6.2,0.9954,0.0120,0.9932,0.9943,437,3,2
6.1,0.9977,0.0120,0.9932,0.9955,438,3,1
6.0,0.9977,0.0120,0.9932,0.9955,438,3,1
5.9,0.9977,0.0160,0.9910,0.9943,438,4,1
5.8,0.9977,0.0200,0.9887,0.9932,438,5,1
5.7,0.9977,0.0280,0.9843,0.9910,438,7,1
5.6,0.9977,0.0280,0.9843,0.9910,438,7,1
5.5,0.9977,0.0280,0.9843,0.9910,438,7,1
5.4,0.9977,0.0280,0.9843,0.9910,438,7,1
5.3,0.9977,0.0280,0.9843,0.9910,438,7,1
5.2,0.9977,0.0360,0.9799,0.9887,438,9,1
5.1,0.9977,0.0360,0.9799,0.9887,438,9,1
5.0,0.9977,0.0360,0.9799,0.9887,438,9,1
4.9,0.9977,0.0360,0.9799,0.9887,438,9,1
4.8,0.9977,0.0400,0.9777,0.9876,438,10,1
4.7,1.0000,0.0400,0.9777,0.9887,439,10,0
4.6,1.0000,0.0400,0.9777,0.9887,439,10,0
4.5,1.0000,0.0440,0.9756,0.9876,439,11,0
4.4,1.0000,0.0480,0.9734,0.9865,439,12,0
4.3,1.0000,0.0520,0.9712,0.9854,439,13,0
4.2,1.0000,0.0560,0.9691,0.9843,439,14,0
4.1,1.0000,0.0600,0.9670,0.9832,439,15,0
4.0,1.0000,0.0600,0.9670,0.9832,439,15,0
3.9,1.0000,0.0680,0.9627,0.9810,439,17,0
3.8,1.0000,0.0720,0.9606,0.9799,439,18,0
3.7,1.0000,0.0760,0.9585,0.9788,439,19,0
3.6,1.0000,0.0840,0.9543,0.9766,439,21,0
3.5,1.0000,0.0920,0.9502,0.9745,439,23,0
3.4,1.0000,0.1040,0.9441,0.9712,439,26,0
3.3,1.0000,0.1080,0.9421,0.9702,439,27,0
3.2,1.0000,0.1120,0.9400,0.9691,439,28,0
3.1,1.0000,0.1160,0.9380,0.9680,439,29,0
3.0,1.0000,0.1320,0.9301,0.9638,439,33,0
2.9,1.0000,0.1360,0.9281,0.9627,439,34,0
2.8,1.0000,0.1480,0.9223,0.9596,439,37,0
2.7,1.0000,0.1600,0.9165,0.9564,439,40,0
2.6,1.0000,0.1800,0.9070,0.9512,439,45,0
2.5,1.0000,0.2040,0.8959,0.9451,439,51,0
2.4,1.0000,0.2320,0.8833,0.9380,439,58,0
2.3,1.0000,0.2680,0.8676,0.9291,439,67,0
2.2,1.0000,0.3000,0.8541,0.9213,439,75,0
2.1,1.0000,0.3360,0.8394,0.9127,439,84,0
2.0,1.0000,0.3520,0.8330,0.9089,439,88,0
1.9,1.0000,0.4120,0.8100,0.8950,439,103,0
1.8,1.0000,0.4880,0.7825,0.8780,439,122,0
1.7,1.0000,0.5640,0.7569,0.8616,439,141,0
1.6,1.0000,0.6280,0.7366,0.8483,439,157,0
1.5,1.0000,0.6760,0.7220,0.8386,439,169,0
1.4,1.0000,0.7560,0.6990,0.8229,439,189,0
