ratio,tpr,fpr,precision,f1,tp,fp,avg_delay_samples
10.0,0.9841,0.0080,0.9954,0.9897,432,2,15.52
9.9,0.9841,0.0080,0.9954,0.9897,432,2,15.43
9.8,0.9841,0.0080,0.9954,0.9897,432,2,15.18
9.7,0.9841,0.0080,0.9954,0.9897,432,2,15.09
9.6,0.9841,0.0080,0.9954,0.9897,432,2,14.87
9.5,0.9841,0.0080,0.9954,0.9897,432,2,14.42
9.4,0.9841,0.0080,0.9954,0.9897,432,2,14.19
9.3,0.9841,0.0080,0.9954,0.9897,432,2,14.12
9.2,0.9841,0.0080,0.9954,0.9897,432,2,14.02
9.1,0.9841,0.0080,0.9954,0.9897,432,2,13.93
9.0,0.9841,0.0080,0.9954,0.9897,432,2,13.82
8.9,0.9841,0.0080,0.9954,0.9897,432,2,13.70
8.8,0.9841,0.0080,0.9954,0.9897,432,2,13.60
8.7,0.9863,0.0080,0.9954,0.9908,433,2,13.86
8.6,0.9863,0.0080,0.9954,0.9908,433,2,13.77
8.5,0.9863,0.0080,0.9954,0.9908,433,2,13.69
8.4,0.9863,0.0080,0.9954,0.9908,433,2,13.63
8.3,0.9863,0.0080,0.9954,0.9908,433,2,13.55
8.2,0.9863,0.0080,0.9954,0.9908,433,2,13.45
8.1,0.9886,0.0120,0.9931,0.9909,434,3,13.69
8.0,0.9909,0.0120,0.9932,0.9920,435,3,13.58
7.9,0.9932,0.0120,0.9932,0.9932,436,3,13.80
7.8,0.9932,0.0120,0.9932,0.9932,436,3,13.75
7.7,0.9932,0.0120,0.9932,0.9932,436,3,13.49
7.6,0.9932,0.0120,0.9932,0.9932,436,3,13.39
7.5,0.9932,0.0120,0.9932,0.9932,436,3,13.19
7.4,0.9932,0.0120,0.9932,0.9932,436,3,13.14
7.3,0.9932,0.0120,0.9932,0.9932,436,3,13.03
7.2,0.9932,0.0120,0.9932,0.9932,436,3,12.94
7.1,0.9932,0.0120,0.9932,0.9932,436,3,12.78
7.0,0.9932,0.0120,0.9932,0.9932,436,3,12.62
6.9,0.9954,0.0120,0.9932,0.9943,437,3,12.59
6.8,0.9954,0.0120,0.9932,0.9943,437,3,12.46
6.7,0.9954,0.0120,0.9932,0.9943,437,3,12.36
6.6,0.9954,0.0120,0.9932,0.9943,437,3,12.18
6.5,0.9954,0.0120,0.9932,0.9943,437,3,12.03
6.4,0.9954,0.0120,0.9932,0.9943,437,3,11.95
6.3,0.9954,0.0120,0.9932,0.9943,437,3,11.81
6.2,0.9954,0.0120,0.9932,0.9943,437,3,11.62
6.1,0.9977,0.0120,0.9932,0.9955,438,3,11.70
6.0,0.9977,0.0120,0.9932,0.9955,438,3,11.63
5.9,0.9977,0.0160,0.9910,0.9943,438,4,11.46
5.8,0.9977,0.0200,0.9887,0.9932,438,5,11.34
5.7,0.9977,0.0280,0.9843,0.9910,438,7,11.13
5.6,0.9977,0.0280,0.9843,0.9910,438,7,10.91
5.5,0.9977,0.0280,0.9843,0.9910,438,7,10.73
5.4,0.9977,0.0280,0.9843,0.9910,438,7,10.53
5.3,0.9977,0.0280,0.9843,0.9910,438,7,10.42
5.2,0.9977,0.0360,0.9799,0.9887,438,9,10.36
5.1,0.9977,0.0360,0.9799,0.9887,438,9,10.20
5.0,0.9977,0.0360,0.9799,0.9887,438,9,10.13
4.9,0.9977,0.0360,0.9799,0.9887,438,9,10.00
4.8,0.9977,0.0400,0.9777,0.9876,438,10,9.89
4.7,1.0000,0.0400,0.9777,0.9887,439,10,9.91
4.6,1.0000,0.0400,0.9777,0.9887,439,10,9.78
4.5,1.0000,0.0440,0.9756,0.9876,439,11,9.61
4.4,1.0000,0.0480,0.9734,0.9865,439,12,9.47
4.3,1.0000,0.0520,0.9712,0.9854,439,13,9.30
4.2,1.0000,0.0560,0.9691,0.9843,439,14,9.21
